locale,key,value
DE,website_intro_header,"Urbane Hitzeinseln - Planungsvarianten zur Reduktion von Hitzestress"
EN,website_intro_header,"Urban Heat Islands - Planning options for reducing heat stress"

DE,website_intro_subheader,"Zwei Szenarien - Eine aufschlussreiche Analyse:"
EN,website_intro_subheader,"Two Scenarios - An Insightful Analysis:"

DE,website_intro_subheader_details,"Wir demonstrieren am Beispiel von Konstanz, wie eine nachhaltige und klimagerechte Stadtentwicklung funktionieren kann. Dazu haben wir ein PALM-4U Simulationsmodell erstellt und die Auswirkung zweier realistische Klimaanpassungsmaßnahmen untersucht."
EN,website_intro_subheader_details,"We demonstrate, using the example of Konstanz, how sustainable and climate-friendly urban development can work. To do this, we have created a PALM-4U simulation model and examined the effects of two realistic climate adaptation measures."

DE,option_menu_0,Szenarian
EN,option_menu_0,Scenario"
DE,option_menu_1,3D Visualisierung
EN,option_menu_1,3D Visualization
DE,option_menu_2,OpenStreetMap
EN,option_menu_2,OpenStreetMap
DE,option_menu_3,Flächenrepräsentation
EN,option_menu_3,Surface Representation
DE,option_menu_4,Info
EN,option_menu_4,Info


DE,menu_0_title,Klimaanpassungsszenario
EN,menu_0_title,Climate Adaptation Scenerio

DE,location,Standort
EN,location,Location
DE,current_state,Ist-Zustand
EN,current_state,Current State
DE,after_change,Variante Nachbegrünung
EN,after_change,Re-vegetation

DE,time_of_day,Wähle die Tageszeit
EN,time_of_day,Select the time of day
DE,layer_options,Anzeigeoptionen
EN,layer_options,Layer Options
DE,scenario_positions,Position Zielszenario
EN,scenario_positions,Scenario Positions
DE,analysis_area,Wähle den Auswertungsbereich
EN,analysis_area,Select the analysis area
DE,displayed_variable,Dargestellte Variable
EN,displayed_variable,Displayed Variable


DE,area_parent,Gesamtes Stadtgebiet
EN,area_parent,Entire city area
DE,area_child1,Innenstadtbereich
EN,area_child1,City center
DE,area_child2,Zielregion
EN,area_child2,Target region

DE,var_air_temp,Lufttemperatur (2m)
EN,var_air_temp,2m Air Temperature

DE,menu_2_title,Vergleich Lufttemperatur (2m) Ist-Zustand Planungsvariante
EN,menu_2_title,Comparison of 2m Air Temperature at Current State and Re-vegetation
DE,menu_3_title,Farbige Flächenrepräsentation
EN,menu_3_title,Colormap Representation
DE,menu_3_title_2,Grafische Datenauswertung
EN,menu_3_title_2,Graphical Representation


